CodeCatalogue,Sector,Use or activity,Measure name,Status,Origin of the measure,Nature of the measure,Water body category,Spatial scope,Country,Measure Impacts to,Measure Impacts to (further details) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
MSFD68,Ports,Not specified,Group of measures focusing on impulsive noise,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),not specified,Other,National,Denmark,Species,,0,0,0,0,0,0,0,0,0,0,1
MSFD69,Traffic,Not specified,Group of measures focusing on low frequency noise: Adoption of IMO MEPC.1/Circ.833 on the reduction of underwater noise,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),"administrative, technical measure",Other,National,Denmark,Species,,0,0,0,0,0,0,0,0,0,0,1
MSFD70,Ports and Traffic,Not specified,Cross-sectoral collaboration among authorities on underwater noise,Additional measures 2b,MSFD (Directive 2008/56/EC),not specified,Other,National,Denmark,Species,,0,0,0,0,0,0,0,0,0,0,1
MSFD71,Ports,Not specified,Biological monitoring of the ports,not specified,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,1,0,0,0,0,0,0,0,0,0
MSFD72,Ports and Traffic,Not specified,MARPOL 73/78 Annex I (oil and oil mixtures) and Annex II,not specified,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,0,0
MSFD73,Ports,Not specified,Ports Act,not specified,MSFD (Directive 2008/56/EC),legislation/regulation,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,0,0
MSFD74,Traffic,Not specified,1972 agreement on the Prevention of Marine Pollution by Dumping of Wastes and Other Matter,not specified,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,0,0
MSFD75,Ports and Traffic,Not specified,Waste Act,not specified,MSFD (Directive 2008/56/EC),legislation/regulation,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,1,0
MSFD76,Traffic,Not specified,Regulation (3rd March 2011) handling of oil and oil products at sea,not specified,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,0,0
MSFD77,Traffic,Not specified,2001 International agreement on Civil Liability for Bunker Oil Pollution Damage (BUNKER),"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,1,1,0,0
MSFD78,Ports and Traffic,Not specified,Increasing response capacities to oil spills and biota rehabilitation capacity (Water Act),"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),legislation/regulation,Not specified ,Not specified ,Estonia,Not specified,,1,0,0,1,0,1,0,0,0,0,0
MSFD79,Traffic,Not specified,MARPOL 73/78 Annex V: Prevention of Pollution by Garbage from Ships -disposal of garbage in special areas,not specified,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Estonia,Not specified,,0,0,0,0,0,0,0,0,0,1,0
